class_name,class_id,recurring,credit_hours,prereqs,requirement_designation,campus,class_desc,,
Processes and Systems Management,ISOM551A,,5,,,EM,"This course looks at how processes and systems, the so-called operating core of the organization, impacts the ability of a firm to execute its strategy. The challenges confronting firms competing in today's dynamic environment demand a multi-disciplinary focus. As we prepare students who seek to understand and face these challenges, this course covers the multiple activities comprising a firm's operating core and its supply chain. The operating core of a firm is an integrated system that combines activities related to design and engineering, production, quality management, networks of material and information flows, and the development, distribution and delivery of goods and services to customers.",,
Process and Systems Management,ISOM551M,spring,5,,,EM,"This class will examine a central question that will be useful to understand as you embark on, and progress through, your careers: why do organizations struggle to effectively execute their strategy? At its core, the course examines two key issues: 1. How to align and optimize the operating model to deliver value,  2. How to align and optimize the organization, including leadership and decision- making, to deliver value. The class will explore various types of business models and how to use a business model canvas to identify key actives, partnerships, and constituent interactions that align a company to deliver value.  We will cover forecasting techniques and how to use them to most effectively and efficiently allocate resources. We will learn how to engage in operational decision making through linear optimization and process analysis. The course material will be particularly relevant in framing the complex issues you will encounter in the MiM immersion project.",,
Technology & Adaptive Systems,ISOM552,,3,,,EM,"Technologies change the art of the possible in commerce and society.  Emerging technologies change the nature of the enterprise, inter-organizational relations and market practice.  Effective strategic leverage, shaping capabilities and solutions, accelerate adaptation and evolution as firms and markets transform in the 21st century.",,
Supply Chain Management,ISOM553,,3,,,EM,"In some industries, supplying goods to customers is primarily controlled within an organization, and a classic example of this structure was the Ford plant at Highland Park. Today advances in communication and transportation have led to complex supply chains that span organizations and continents. This course will combine cases and readings to allow students to understand the operations and economics of supply chains, and how companies use supply chain management in creating a competitive advantage. This will require the development of some analytic tools for determining operating policies that effectively manage the numerous trade-offs in supply chains. We will also be careful, though, to put these decisions in the context of the overall strategy of the firm. Supply chains are a natural place to examine global operations, where links of the supply chain are located around the world in an attempt to successfully compete. Students with an interest in careers in consulting or in  operations functions are the primary target for this course. But supply chain organizations are often closely tied to marketing functions, and supply chains have on the financial structure of the firm.",,
Data Science for Business,ISOM554,,3,,,EM,"This a comprehensive course that introduces the methodology and practice of machine learning and is designed to equip students with the knowledge and practical coding skills to leverage data as a strategic asset and make informed business decisions. The class covers both classical and modern data science ideas and methods such as regression, nonlinearity, regularization, deep learning and reinforcement learning, and emphasizes implementing these methods in real business problems through coding. Having completed this course, the students will be well-prepared to harness the power of data science to solve complex business problems and make data-driven decisions that can lead to competitive advantages.",,
Management Science in Spreadsheets,ISOM557,,3,,,EM,"This course covers traditional management science techniques such as linear programming, integer programming, and simulation. The emphasis of the course is on practical problem solving. All work is performed in Excel. However, little knowledge of Excel is necessary to begin the class. The particular problems of the course are slanted to attract those interested in finance and operations, but also include some marketing and HR problems. Finance oriented topics include asset allocation, arbitrage, short term cash flow planning, and balance sheet management, among others. Operations oriented topics include production planning, facility location, labor scheduling, blending, and others. The class is ""hands on."" It will be necessary to have a computer with you in class.",,
Impact: Operations,ISOM572,,3,,,EM,"The Operations section of the IMPACT360 curriculum focuses on projects that implement the firm's strategy and serves its customers in the most effective way. General topics for these projects include process design, supply chain management and quality management. Projects typically include data analysis of current operations and the construction of models to support decision making for revised operations proposed by the project team.",,
Special Topics: Supply Chain Analytics,ISOM599R,,3,,,EM,,,
Special Topics: Deep Learning,ISOM599R,,3,,,EM,,,
Special Topics: DigitalAnalytics&Causal Infer.,ISOM599R,,3,,,EM,,,
Superforecasting Tools for Building Predictive Systems,ISOM655,fall/spring,3,,,EM,"Hands-on, gentle introduction to the tools that data scientists use to forecast the future. Emphasis is on applying these tools to build predictive systems for examples ranging from sales forecasting to algorithmic trading to preventing employee churn. Through this course, students gain experience with R, an in-demand software platform. Prior coding exposure is not necessary. Methods surveyed: Linear regression re-examined from the angle of predictive analytics; AI/ML techniques for prediction & classification; time series methods; time-to-event prediction tools developed by GBS faculty.",,
Problem Solving Bootcamp,ISOM663C,,0,,,EM,This course runs throughout the length of the program. Students are provided the basis to abstract a business problem into a data-based problem and provided a methodology commonly adopted by consulting firms.  The course then combines the consulting method with the CRISP-DM framework commonly used in data science projects.  This course provides the foundation for managing projects in the capstone course.,,
Network Analytics,ISOM673,,3,,,EM,"This course provides coverage of social network analysis with a primary focus on recent developments in theory, methods and substantive applications. The primary topics to be covered in this course include the application of network theory to the study of careers, competition, innovation, inequality/stratification, IT-mediated networks, network formation, and network dynamics. Students will gain hands-on experience applying social network methods in empirical research. Students will have an opportunity to learn some modern network analysis methods and apply them to network data.",,
Machine Learning & AI at Scale,ISOM676,,3,,,EM,"This course delves into a number of selected current and emerging data analytics areas that are becoming increasingly important for modern organizations. Such areas include advanced elements of the predictive modeling process, ensemble methods, cost-aware data analytics, mining text and data, recommender systems, and other advanced topics.",,
Analytics Practicum,ISOM689,,3,,,EM,"The MSBA Capstone course leverages skills and techniques learned throughout the course of the program and applies them to a real world business situation.  Projects will be sourced from one of the MSBA partner firms and will include a business question of interest along with access to data required to define and address the problem.  Students will formally define the problem, clean the data, aggregate with other data sources, and use appropriate analytical techniques to address the question.  Project outcomes are also likely to include dashboards developed with visual analytics tools and will conclude with a formal presentation to the partner firm.",,
Research Seminar in Information Systems I,ISOM750,,3,,,EM,"This course is designed to provide students with an in-depth understanding of research in the field of Information Systems and is primarily focused on understanding how information technologies have shaped organizations and markets. It is designed to provide doctoral students across different disciplines an introduction to key management and organizational research issues and challenges in topics related to digital technologiesand systems. The course is designed for both information systems (IS) and non-IS Ph.D. students (e.g., fields of business, information science, communications, computer science, public health and policy).",,
Advanced Topics in Operations Management,ISOM754,,3,,,EM,"The course provides an advanced treatment of select topics in operations management, including empirical operations, healthcare, strategy and revenue.",,
"Language & Culture, Elem. II",ITAL102,spring,4,,Intercultural Communication,EM,"This course focuses on elementary communication skills through a systematic introduction to the basic grammatical patterns and vocabulary of the Italian language. The goal is to widen the fundamental skills of listening comprehension, speaking, reading and writing within a cultural context.",,
Intensive Elementary Italian,ITAL110,fall/spring,8,,Intercultural Communication,EM,"Innovative eBook Italian Virtual Class: engaging approach to language learning, full immersion in Italian culture, literature and art with authentic materials; development of analytical, critical skills, cross-cultural competency and higher than norm linguistic fluency.",,
"Language & Culture, Inter. II",ITAL202,spring,4,,Intercultural Communication,EM,"Utilizing authentic texts, this engaging content-based approach to language learning focuses on a historically sequenced in-depth study of Italian art, history, and literature, developing analytical-critical skills, cross-cultural competency and higher than norm linguistic fluency.",,
Language & Culture; Adv. II,ITAL302W,spring,4,,Intercultural Communication wContComm,EM,"Utilizing authentic texts, this engaging content-based approach to language learning focuses on a historically sequenced in-depth study of Italian art, history, and literature, developing analytical-critical skills, cross-cultural competency and higher than norm linguistic fluency.",,
Tops in Ital Lit in Trans: Diaspora in Italy and Beyond,ITAL375W,fall/spring,4,,Humanities Arts Performance with Writing,EM,Topics to be announced each semester. Course taught in English. May be repeated for credit when syllabus changes. Focus on developing critical analysis and reasoning skills.,,
Storytelling Italy and China,ITAL377W,,4,,Continuing Communication,EM,"The course explores the rich novella traditions that developed in Italy and China from late medieval to early modern period. It investigates similarities and divergences between the two traditions, including shifting conceptions of literature, ethical norms, religious beliefs, and gender ideals.",,
Topics in Italian Literature,ITAL470W,fall/spring,4,,Intercultural Communication wContComm,EM,"In Italian. Intensive study of a single author, genre, literary movement, or period. Topic to be announced in advance. May be repeated for credit when topic varies. Prerequisite: Italian 302 or permission of program director.",,
Individual Directed Study,ITAL497R,fall/spring/summer,6,,,EM,Independent research for students majoring in Italian Studies. Advanced directed studies in Italian literature and culture. Course may be repeated for a different project.,,
Jones Program in Ethics: Workshop: Humans in Shackles,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Scattered and Fugitive Things,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: ReCreating Spaces Blk Girlhood,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: How to Translate Academia,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Medical Experimentation,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Only Doctor Screening & Disc.,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Moral Distress,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Ethics of Aesthetic Experience,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Ethics of Authorship,JPE610,,0,,,EM,,,
Jones Program in Ethics: Workshop: Culture Heritage &the Ethics,JPE610,,0,,,EM,,,
Elementary Japanese II,JPN102,spring,4,JPN101,Intercultural Communication,EM,"Continuation of Japanese 101. Students will learn vocabulary, expressions, and sentence structures to become able to meet basic communication needs in Japanese. All four skills (speaking, listening, reading, and writing) will be incorporated, and accurate and appropriate language use will be emphasized.",,
Intermediate Japanese II,JPN202,spring,4,JPN201,Intercultural Communication,EM,Continuation of Japanese 201. This course is designed to complete the introduction and practice of basic grammar of Japanese. More authentic language material will be introduced.,,
Intro to Japanese Culture,JPN270,spring,3,,Humanities and Arts,EM,"This course explores various aspects of life and society in Japan, including writing, gender, memory and history, geography and the environment, aesthetics, and the formation of national identity.",,
Adv Conv & Composition II,JPN302,spring,3,JPN301,Intercultural Communication,EM,"Prerequisite: Japanese 301 or consent of instructor. This course provides opportunities for reading and discussion of authentic materials, as well as for learning how to write with systematic instruction on composition. Students will write essays on topics such as jibun-shi (autobiography).",,
Self & Otherness in JPN Anime,JPN346,,3,,,EM,"This course explores globalization of Japanese anime and manga, particularly how series highlight forms of diverse and marginalized identities; how it reflects issues of social and economic precarity in contemporary Japan; and how recreation facilitates re-creation of self, identity, and relations.",,
Japanese Modern Women Writers,JPN360W,fall/spring,4,,Humanities Arts Performance with Writing,EM,This course familiarizes students with the multiplicity of the female voices that (re-)emerged in Japanese literature from the Meiji period (beginning 1868) to the late twentieth century. Texts are in English translation.,,
Adv Language & Cultural Studies II,JPN402,spring,3,JPN401 or JPN401W,Intercultural Communication,EM,Prerequisite: JPN 401 or instructor consent. This course will provide exposure to business and technical Japanese. Students will practice formal styles of communication and read texts with technical orientation. Basic translation skills will be introduced. The course is conducted solely in Japanese.,,
Honors Japanese,JPN495BW,spring,4,,Continuing Communication,EM,Contact the department for further information. Approval by department is required.,,
Special Topics in Jewish Studies: Exp.Jewish Priorities 21st C.,JS180,,1,,,EM,,,
Special Topics in Jewish Studies: Intro to Anc't Med Societies,JS180,,3,,Humanities and Arts,EM,,,
Freshman Seminar: Marranos to Marilyn Monroe,JS190,fall/spring,3,,First Year Seminar,EM,"Designed to engage first-year students in aspects of inquiry and research into areas of Jewish religion, culture, history, or language. Topics will vary.",,
Survey of Jewish History,JS270,fall/spring,3,,Social Sciences with Race  Ethnicity,EM,"This course offers a general overview of the history of Jews and Judaism, beginning with the Biblical period and ending with modern times.",,
Topics in Jewish History: Jews and Race in U.S. History,JS271,fall/spring,3,,HSC wRace  Ethnicity Req,EM,Special Topics in Jewish History: Variety of subjects emphasizing Jewish History. Content will vary. May be repeated when the topic changes.,,
"Topics in Jewish History: Holocaust M.Europe, Israel,US",JS271,fall/spring,3,,History Society Cultures,EM,Special Topics in Jewish History: Variety of subjects emphasizing Jewish History. Content will vary. May be repeated when the topic changes.,,
Topics in Jewish Rel & Culture: Amer.Jewish Popular Culture,JS273,,3,,HAP wRace  Ethnicity Req,EM,Special Topics in Jewish Religion and Culture: Variety of subjects emphasizing Jewish Religion and Culture. Content will vary. May be repeated when the topic changes.,,
Jews of Eastern Europe,JS338,,3,,HSC wRace  Ethnicity Req,EM,"On the eve of the Holocaust, a majority of world Jewry lived in Eastern Europe (esp.Poland, USSR).This course explores the origins, dynamic growth, and near destruction of East European Jewry from the Middle Ages to the Holocaust and the challenges to Jewish life in this region in the post-WWII era.",,
Medieval Jewish Thought,JS341,,3,,Humanities Arts Performance,EM,"Intensive study of a major work on an important theme in medieval Jewish thought such as Maimonides' Guide for the Perplexed, Saadia's Beliefs and Opinions, and medieval Jewish exegesis of the Bible.",,
Israeli-Palestinian Literature,JS348W,,4,,Continuing Communication with Race  Ethnicity,EM,"This course will explore the literatures of identity and belonging in the context of the Arab-Israeli conflict. It will cover Modern Hebrew literature authored by Jewish-Israeli writers and literature produced by Arab Palestinians in Israel, the Occupied Territories and the Palestinian Diaspora.",,
"Topics in Jewish Religion & Culture: Ethnography, Sacred Ethics",JS370,fall/spring/summer,3,,History Society Cultures,EM,This course will focus on particular aspects of or themes in Judaism or Jewish culture and how it is practiced. Topics will vary.,,
"Topics in Jewish History: Gender,Sexuality, Holocaust",JS371,fall/spring,3,,HSC wRace  Ethnicity Req,EM,This course will focus on a specific period or dimension of Jewish history with an emphasis on the use of documents and other primary sources. Topics will vary.,,
"Topics in Jewish History: Women & Law, 1200-1800",JS371,fall/spring,3,,History Society Cultures,EM,This course will focus on a specific period or dimension of Jewish history with an emphasis on the use of documents and other primary sources. Topics will vary.,,
Topics In Jewish Literature: Making sense of Fascism,JS375,,3,,Humanities Arts Performance,EM,Seminar on special issues in Jewish writing. May be repeated for credit when topic varies.,,
Topics In Jewish Literature: The Fall of Jerusalem,JS375,,3,,Humanities Arts Performance,EM,Seminar on special issues in Jewish writing. May be repeated for credit when topic varies.,,
Topics In Jewish Literature: Holocaust Literature,JS375W,,4,,Humanities Arts Performance with Writing,EM,Seminar on special issues in Jewish writing. May be repeated for credit when topic varies.,,
Directed Reading In Jewish Studies,JS497R,fall/spring,1,,,EM,Prerequisite: consent of instructor. Specific readings for each student are decided upon in consultation with a member of the faculty.,,
Elementary Korean I,KRN101,fall/spring/summer,4,,Intercultural Communication,EM,"This is the first half of the Elementary Korean language course. It is designed for those who have very limited or no prior knowledge of Korean language. Emphasis is placed on the fundamentals of listening, speaking, reading, and writing.",,
Elementary Korean II,KRN102,fall/spring/summer,4,,Intercultural Communication,EM,"This course is designed for those who have taken KRN 101 or have some knowledge of Korean. Basic communication skills, vocabulary,and grammar patterns will be covered.",,
Intermediate Korean II,KRN202,fall/spring,4,,Intercultural Communication,EM,This course is designed for those who have taken KRN 201 or have an equivalent level of proficiency. The course focuses on expanding conversational skills with an emphasis on Korean culture and society.,,
Food Media and Transnational Culture,KRN227W,,4,,Humanities  Arts with CCommRace  Ethnicity,EM,"Discussion-based course examining contemporary food media from and about Asian culinary traditions. Topics include global Asian culture, Asian America, diaspora, media circulation, race, and ethnicity.",,
Advanced Korean II,KRN302,spring,3,,Intercultural Communication,EM,"This course, as a continuation of KRN 301, is designed to further develop advanced skills of speaking, listening, reading, writing and grammar in Korean. This course emphasizes reading and writing with advanced grammar, vocabulary and expressions. KRN 301 or instructor permission required.",,
Modern Korean Literature in Translation,KRN383,,3,,Humanities Arts Performance,EM,Readings of Modern Korean literature in translation from 1900-present with appropriate literary criticism and historical texts to supplement students' knowledge of the context of Korean literary texts.,,
Special Topics: Korean: Foreign Migrants Cont.S.Korea,KRN386,fall/spring,3,,History Society Cultures,EM,An interdisciplinary course that introduces students to Korean culture and society. No knowledge of Korean is required. Topics to be announced each semester.,,
High Advanced Korean II,KRN402,spring,3,KRN401,Intercultural Communication,EM,"This course helps Korean advanced level learners to improve their proficiency to high-advanced level by introducting the language, history, culture, and society of Korea. Throughout the course, students will be broadly exposed to the diversity of Korean society and culture.",,
LA: Directed Study,LA699,fall/spring/summer,2,,,EM,"Variable credit, maximum of three credit hours. Study planned with a professor on a topic not covered by courses regularly taught. The syllabus is developed by the professor and student.",,
Introduction to Latinx Studies,LACS102,fall/spring,3,,Humanities and Arts with Race  Ethnicity,EM,"This course focuses on the historical and political contexts that impact Hispanic, Latino/a, and Latinx identity formation in the United States, identity maintenance, racialization, and ideologies of gender and sexuality.",,
Mapping Latine Inequalities,LACS200,spring,3,,Humanities and Arts with Race  Ethnicity,EM,"How do communities come together to live dignified lives? What strategies of placemaking do communities use to create home? Exploring the colonial emergence of property we dive into topics like gentrification, housing justice, abolitionism, queer nightlife, and other ongoing land-based struggles.",,
Visitor Meets Native,LACS265W,spring,4,,HSCW wRace  Ethnicity Req,EM,This course will bring together existing research to examine tourism as at one time an economic enterprise and also as a deeply significant cultural experience that has played an under-recognized part in shaping the cultural mores and lifestyles of both the island destinations and the home countries.,,
Topics: Latin Americn Issues: Latin America,LACS270,fall/spring,3,,HSC wRace  Ethnicity Req,EM,Topics: Latin Americn Issues. Topics vary.,,
Topics: Latin Americn Issues: Racial and Gender Formation,LACS270,fall/spring,3,,HSC wRace  Ethnicity Req,EM,Topics: Latin Americn Issues. Topics vary.,,
"Topics in Latin American Issues: Literatures, Genres, Media",LACS270W,,4,,Humanities and Arts with ContCommunication,EM,Topics: Latin Americn Issues. Topics vary.,,
Topics in Latin American Issues: Major Authors: Sandra Cisneros,LACS270W,,4,,Humanities and Arts with ContCommunication,EM,Topics: Latin Americn Issues. Topics vary.,,
Topics in Latin American Issues: Classical Mus.in Latin America,LACS270W,,4,,Continuing Communication,EM,Topics: Latin Americn Issues. Topics vary.,,
Migrants & Borders in the US,LACS336,fall/spring,3,,Race and Ethnicity,EM,"This course considers how migrants, the construction of borders, and the formation of transnational communities have shaped the making of the United States. Central themes include class, gender, (il)legality, labor, politics and race/ethnicity.",,
Sugar and Rum,LACS363W,spring,4,,HSCW wRace  Ethnicity Req,EM,"Sugar and rum were for centuries the quintessential Caribbean products, commodities which created fortunes for planters and merchants, while changing the lifestyles of the European working classes. This class will examine not only the development of sugar and rum production and its effect on the Caribbean's socio-economic organization in the form of the plantation, but also how these commodities have come to define social status in the metropolis through changing patterns of consumption. Students will use materials from a variety of genres and disciplines, from social history to advertising, and from anthropology to popular music and film.",,
Human Trafficking: Global History,LACS378,spring,3,,HSC wRace  Ethnicity Req,EM,"The course explores human trafficking from the era of the trans- Atlantic slave trade to present-day instances of trafficking in productive and reproductive labor. Through primary and secondary sources, the students learn about the racial and gender ideologies undergirding this phenomenon.",,
Special Topics in Latin American and Caribbean Studies: Indigeneity/Justice in LatAm,LACS385,fall/spring/summer,3,,HSC wRace  Ethnicity Req,EM,Special Topics in Latin American and Caribbean Studies. Topics vary.,,
Special Topics in Latin American and Caribbean Studies: Haiti the Beautiful,LACS385,fall/spring/summer,3,,Humanities Arts Performance,EM,Special Topics in Latin American and Caribbean Studies. Topics vary.,,
Medical Discourse in Latin America,LACS409,,3,,,EM,"This course examines how narratives about the body, health, medicine, and well-being are constructed, naturalized, and circulated in Latin America.",,
Advanced Seminar in Latin and Caribbean Studies: Disability in Latin America,LACS490R,spring,3,,Race and Ethnicity,EM,"Topics vary. Each colloquium treats a different theme in depth, often combining reading and seminar discussion with research and writing. If listed as WR, fulfills the post-freshman writing requirement.",,
Advanced Seminar in Latin and Caribbean Studies: US Frontera and Other Border,LACS490R,spring,3,,Race and Ethnicity,EM,"Topics vary. Each colloquium treats a different theme in depth, often combining reading and seminar discussion with research and writing. If listed as WR, fulfills the post-freshman writing requirement.",,
Advanced Seminar in Latin and Caribbean Studies: The Latin American Documentary,LACS490R,spring,3,,,EM,"Topics vary. Each colloquium treats a different theme in depth, often combining reading and seminar discussion with research and writing. If listed as WR, fulfills the post-freshman writing requirement.",,
Elementary Latin II,LAT102,spring,4,,Intercultural Communication,EM,"Continuation of Latin 101. Further study of Latin forms and syntax, followed by reading from one or more authors.",,
Intermediate Latin: Poetry,LAT202,spring,3,,Intercultural Communication,EM,"Selected readings in the poetry of Ovid and others, with attention to poetic art as well as grammar and syntax.",,
Oratory & Rhetoric,LAT311,,3,,Intercultural Communication,EM,"Reading of selected speeches and rhetorical works by Cicero, with attention to style, content, and historical background.",,
Supervised Reading,LAT398R,,4,,,EM,Study in Latin under the direct supervision of a faculty member for students who have completed intermediate-level coursework in Latin.,,
Honors,LAT495BW,fall/spring,8,,Continuing Communication,EM,Honors research in Latin under the direct supervision of a faculty member. Open by invitation only. One semester of honors research can be used toward the College's Continuing Writing requirement.,,
Supervised Reading,LAT498R,fall/spring,4,,,EM,Advanced supervised study in Latin literature.,,
Directed Readings,LAT597R,,4,,,EM,,,
Business Associations,LAW500X,,3,,,EM,"This course surveys the formation, organization, financing, management, and dissolution of sole proprietorships, partnerships, corporations, limited partnerships, and limited liability companies. The course includes fundamental rights and responsibilities of owners, managers, and other stakeholders. The course also considers the special needs of closely-held enterprises, basic issues in corporate finance, and the impact of federal and state laws and regulations governing the formation, management, financing, and dissolution of business enterprises. This course includes consideration of major federal securities laws governing insider trading and other fraudulent practices under Rule 10b-5.",,
Criminal Law,LAW525,spring,3,,,EM,"This course focuses on the principles of criminal liability and punishment. We'll study common and statutory criminal law, including origin and purpose; classification of crimes; elements of criminal liability and the development of the law respecting specific crimes; the influence of the Model Penal Code; and the circumstances and factors that constitute a defense to, or alter and affect, criminal responsibility.",,
Constitutional Law I,LAW530,spring,4,,,EM,"An introductory study of the United States Constitution, including judicial review, the powers of Congress, the powers of the president, and the interrelationship of state and national governments. Includes an introduction to individual rights, with emphasis on the operation of the Fourteenth Amendment due process and equal protection clauses.",,
Introduction to Legal Advocacy,LAW535B,,2,,,EM,This course builds on skills presented in ILARC and introduces students to the process of effectively employing persuasive strategies in both written and oral formats,,
Property,LAW545,spring,4,,,EM,"An introduction to alternative theories of property rights, the division of property rights over time (common law estates, landlord-tenant law), concurrent ownership, private land use controls (easements, covenants), and public land use controls (eminent domain, zoning).",,
"Am Legal Writing, Analysis & Research",LAW560,,2,,,EM,"ALWAR I introduces students to the concepts of legal analysis and the techniques and strategies for legal research, as well as the requirements and analytical structures for legal writing in the American common law legal system.",,
"American Legal Writing, Analysis & Research II",LAW560B,,1,,,EM,"This course continues the study of legal analysis, research, and writing for practice in the American common law system. The topics covered include client letters, pleadings, and persuasive writing, along with enhanced instruction covering legal citation and advanced legal research sources and techniques. Note: International LLM students who want to sit for the Georgia bar exam must take this class.",,
Introduction to the American Legal System (LLM),LAW570A,,2,,,EM,"Designed for lawyers trained outside of the United States, the course provides an overview of the constitutional principles, history, and governmental structures that shape the U.S. legal system; the constitutional foundations of the U.S. legal system, including the concepts of separation of powers and federalism; the structure of the state and federal court systems and concepts of jurisdiction; the mechanisms by which the law is assessed and applied by the courts; and the role of lawyers and the relationship between law and society.",,
"SEM:Legal Regulation of Intimacy: Family, Friends, Sexuality, and Beyond",LAW572,fall/spring,3,,,EM,"Examining the evolutions in the laws of intimacy regulating sexual, procreative, and family relationships, as well as the almost invisible ways that law shapes and influences other entangled and intense social relationships that could be labeled """"intimate,"""" such as those between employer/employee; landlord/tenant; or doctor/patient. We will also consider if and how the law should respond to emerging patterns of digital intimacy. Using interdisciplinary and law and society methodology, this seminar aims to challenge current preconceptions about intimacy, legal regulation, and state. This seminar begins by exploring the social and legal meanings of intimacy and its relationship to other legal/political concepts, such as autonomy, privacy, and state intervention. We also will examine evolutions in the laws of intimacy regulating sexual, procreative, and family relationships, as well as the almost invisible ways that law shapes and influences other entangled and intense social relationships that could be labeled intimate, such as those between employer/employee; landlord/tenant; or doctor/patient. We will also consider if and how the law should respond to emerging patterns of digital intimacy. Using interdisciplinary and law and society methodology, this seminar aims to challenge current preconceptions about intimacy, legal regulation, and state.",,
Leadership for Lawyers,LAW576,,1,,,EM,"In a world where legal professionals are expected not only to excel in their areas of expertise but also exhibit strong leadership qualities, this course introduces students to concepts, capabilities, and skills necessary to become effective leaders in the legal field, whether in private practice, public service, or any other legal context. Through guest speaker presentations, discussion, and self-reflection exercises, students will develop a deeper understanding and appreciation of leadership within the context of the legal profession. The first part of the course will focus on personal capabilities that leaders should develop. The second part of the course will focus on instances of leadership in particular domains or circumstances. A fundamental goal of the course is to identify your existing leadership abilities, strengthen and build upon your leadership potential and assist you in planning for the growth of your leadership abilities throughout your careers.",,
SJD Research & Dissert. Development,LAW580B,,2,,,EM,,,
Professionalism Program,LAW599A,,0,,,EM,Professionalism Program,,
First Amendment: Religious Freedom,LAW601B,,3,,,EM,"Religious liberty is one of the hallmarks of modern constitutional democracies, though it has come under considerable attack in recent years. This course analyzes the historical formation and current interpretation of the religious liberty guarantees of the First Amendment to the United States Constitution.",,
Alternative Dispute Resolution,LAW605,,3,,,EM,"The study of case law and the formal litigation process and the role it plays in our society is essential to effective lawyering. Yet less than 2% of civil cases are resolved by trial. This experiential course will explore the use of appropriate dispute resolution processes -negotiation, mediation and arbitration, and various hybrids - by which most legal conflicts are resolved. The course will provide practical skills and experience through a combination of lecture-discussion, exercises, and simulations to ground students in both ADR theory and practice.",,
Intellectual Property Survey,LAW608,,3,,,EM,"This course will introduce students to the concept of intellectual property through the four forms of intellectual property regimes in the United States: copyrights, trademarks, trade secrets and patents. The course looks at each of these regimes through a comparative lens, looking at how the purpose and protections are similar and different. This course is designed both for those who are interested in pursuing IP as a career, and those who are looking only for a basic knowledge of the subject. There are no prerequisites, and a scientific background is not required. At the end of the course, students should know the basics for each doctrine, the differences in the subject matter protected, how protection in each regime is established, the scope of the rights afforded, and remedies. Students should also be able to compare and contrast the law, policy, and theories for each type of intellectual.",,
Arbitration Law: Survey,LAW609S,,3,,,EM,"This lecture course will focus on arbitration law and process, focusing on the law governing arbitration in the United States. In particular, it will focus on the Federal Arbitration Act, and the resulting State Laws and cases decided according to it.",,
Complex Litigation,LAW610,,3,,,EM,"A study of the metamorphosis of litigation from the simple two-party model to multi-party, multi-claim litigation increasingly prevalent today, including the causes of this change and ability of the legal system to resolve such disputes. The course centers on a detailed study of the class action device, including jurisdictional and due process implications. Also included is the study of the problem of duplicative state and federal litigation, judicial control of complex cases, including multi-district litigation procedures and the case management movement, discovery (including international and e-discovery), and problems relating to preclusion in complex cases.",,
Commercial Law: Sales,LAW612,,3,,,EM,"An understanding of the legal underpinnings of a sale is essential for any lawyer interacting with the financial markets. Article 2 of the UCC was designed to bring clarity and uniformity to a range of prickly areas, including offer, acceptance, price, good faith, implied warranties, rejection.  In this course, we will:  (1) examine the underlying statutes (UCC â�? Articles 1 and 2); (2) consider the relevant case law; (3) apply the understanding of the statutes and case law to scenarios; and (4) engage in the act of lawyering â€�?marshalling the data", the law," and legal creativity to best aid the client sitting in front of you."""
Real Estate Finance,LAW616,,3,,,EM,"This course first examines in detail the elements of basic real estate conveyances including the sales contract, instruments of conveyance and title assurance (recording acts, title insurance, warranties). The second half of the course is devoted to alternative methods of financing a real estate acquisition including various mortgage instruments, transfers of mortgaged property, and foreclosure questions.",,
Const'l Crim Procedure:Investigations,LAW622A,,3,,,EM,"This course examines the constitutional rules governing criminal investigations, including searches and seizures of homes, cars, and people, the interrogation of witnesses and suspects, the exclusion of evidence, and the roles played by prosecutors and defense attorneys during the investigative stages of criminal cases. The course studies the current constitutional rules governing these essential police practices, the development of these rules, and the various policy arguments favoring either efficient law enforcement or individual liberty that arise in these settings.",,
Human Sex Trafficking,LAW624C,,3,LAW632X,,EM,"This course will provide an overview of the legal, societal, and political impact of local, domestic, and international sex trafficking. Topics will include types of sex trafficking and exploitation, investigation and prosecution methods, survivor remedies, and global collaboration. The course will examine state and federal legislation, as well as international protocols, aimed at preventing and responding to sex trafficking. Occasional guest speakers will broaden our understanding of the different challenges of combatting sex trafficking. At the conclusion of the course, students will compare the realities of human sex trafficking to an approved fictional media depiction and evaluate the strengths and weaknesses of a potential prosecution or civil action based on the facts and evidence in the film.",,
Environmental Law,LAW624X,,3,,,EM,"This course will focus on legal strategies to regulate and remedy environmental harms, and it will survey various federal environmental statutes, including the Clean Air Act; Clean Water Act;  National Environmental Policy Act; and Climate Change-related laws and policies. This course will also introduce students to the analytical skills necessary to understand and work in environmental and many other predominantly statutory and regulatory fields. It will frequently involve interpretation of statutes and regulations, analysis of the central role of administrative agencies in environmental law, and exploration of policies underlying environmental protection and justice.",,
